trace,cache_size,assoc,block_size,reads,writes,read_miss,write_miss,replacements,read_miss_rate,write_miss_rate,total_miss_rate
trace files/085.gcc.din,8192,2,32,139816,80669,4093,3111,6948,2.9274,3.8565,3.2673
trace files/085.gcc.din,8192,2,64,139816,80669,6472,2272,8616,4.6289,2.8164,3.9658
trace files/085.gcc.din,8192,2,128,139816,80669,9754,2146,11836,6.9763,2.6603,5.3972
trace files/085.gcc.din,8192,4,16,139816,80669,2586,4919,6993,1.8496,6.0978,3.4039
trace files/085.gcc.din,8192,4,32,139816,80669,2863,2862,5469,2.0477,3.5478,2.5965
trace files/085.gcc.din,8192,4,64,139816,80669,4567,1760,6199,3.2664,2.1818,2.8696
trace files/085.gcc.din,8192,4,128,139816,80669,8526,1599,10061,6.0980,1.9822,4.5921
trace files/085.gcc.din,8192,8,16,139816,80669,2243,4798,6529,1.6043,5.9478,3.1934
trace files/085.gcc.din,8192,8,32,139816,80669,2211,2622,4577,1.5814,3.2503,2.1920
trace files/085.gcc.din,8192,8,64,139816,80669,3704,1483,5059,2.6492,1.8384,2.3525
trace files/085.gcc.din,8192,8,128,139816,80669,6901,1207,8044,4.9358,1.4962,3.6773
trace files/085.gcc.din,16384,1,16,139816,80669,3804,4904,7684,2.7207,6.0792,3.9495
trace files/085.gcc.din,16384,1,32,139816,80669,4301,2720,6509,3.0762,3.3718,3.1843
trace files/085.gcc.din,16384,1,64,139816,80669,5335,1648,6727,3.8157,2.0429,3.1671
trace files/085.gcc.din,16384,1,128,139816,80669,7040,1228,8140,5.0352,1.5223,3.7499
trace files/085.gcc.din,16384,2,16,139816,80669,1812,4737,5525,1.2960,5.8721,2.9703
trace files/085.gcc.din,16384,2,32,139816,80669,1604,2541,3633,1.1472,3.1499,1.8799
trace files/085.gcc.din,16384,2,64,139816,80669,1936,1426,3106,1.3847,1.7677,1.5248
trace files/085.gcc.din,16384,2,128,139816,80669,2995,1032,3899,2.1421,1.2793,1.8264
trace files/085.gcc.din,16384,4,16,139816,80669,1564,4724,5264,1.1186,5.8560,2.8519
trace files/085.gcc.din,16384,4,32,139816,80669,1238,2528,3254,0.8854,3.1338,1.7081
trace files/085.gcc.din,16384,4,64,139816,80669,1283,1375,2402,0.9176,1.7045,1.2055
trace files/085.gcc.din,16384,4,128,139816,80669,1770,912,2554,1.2659,1.1305,1.2164
trace files/085.gcc.din,16384,8,16,139816,80669,1506,4711,5193,1.0771,5.8399,2.8197
trace files/085.gcc.din,16384,8,32,139816,80669,1161,2514,3163,0.8304,3.1164,1.6668
trace files/085.gcc.din,16384,8,64,139816,80669,1066,1356,2166,0.7624,1.6809,1.0985
trace files/085.gcc.din,16384,8,128,139816,80669,1200,747,1819,0.8583,0.9260,0.8831
trace files/085.gcc.din,32768,1,16,139816,80669,3136,4865,6040,2.2429,6.0308,3.6288
trace files/085.gcc.din,32768,1,32,139816,80669,3309,2664,4950,2.3667,3.3024,2.7090
trace files/085.gcc.din,32768,1,64,139816,80669,3942,1555,4985,2.8194,1.9276,2.4931
trace files/085.gcc.din,32768,1,128,139816,80669,5182,1082,6008,3.7063,1.3413,2.8410
trace files/085.gcc.din,32768,2,16,139816,80669,1254,4696,3939,0.8969,5.8213,2.6986
trace files/085.gcc.din,32768,2,32,139816,80669,958,2496,2430,0.6852,3.0941,1.5665
trace files/085.gcc.din,32768,2,64,139816,80669,873,1341,1702,0.6244,1.6623,1.0041
trace files/085.gcc.din,32768,2,128,139816,80669,849,733,1326,0.6072,0.9087,0.7175
trace files/085.gcc.din,32768,4,16,139816,80669,1138,4691,3789,0.8139,5.8151,2.6437
trace files/085.gcc.din,32768,4,32,139816,80669,828,2492,2296,0.5922,3.0892,1.5058
trace files/085.gcc.din,32768,4,64,139816,80669,683,1330,1501,0.4885,1.6487,0.9130
trace files/085.gcc.din,32768,4,128,139816,80669,549,710,1003,0.3927,0.8801,0.5710
trace files/085.gcc.din,32768,8,16,139816,80669,1002,4685,3639,0.7167,5.8077,2.5793
trace files/085.gcc.din,32768,8,32,139816,80669,717,2492,2185,0.5128,3.0892,1.4554
trace files/085.gcc.din,32768,8,64,139816,80669,557,1329,1374,0.3984,1.6475,0.8554
trace files/085.gcc.din,32768,8,128,139816,80669,450,709,903,0.3219,0.8789,0.5257
trace files/085.gcc.din,65536,1,16,139816,80669,1393,4737,2792,0.9963,5.8721,2.7802
trace files/085.gcc.din,65536,1,32,139816,80669,1545,2543,2332,1.1050,3.1524,1.8541
trace files/085.gcc.din,65536,1,64,139816,80669,1838,1410,2335,1.3146,1.7479,1.4731
trace files/085.gcc.din,65536,1,128,139816,80669,2131,851,2505,1.5241,1.0549,1.3525
trace files/085.gcc.din,65536,2,16,139816,80669,990,4689,2234,0.7081,5.8126,2.5757
trace files/085.gcc.din,65536,2,32,139816,80669,714,2488,1379,0.5107,3.0842,1.4523
trace files/085.gcc.din,65536,2,64,139816,80669,568,1330,956,0.4062,1.6487,0.8608
trace files/085.gcc.din,65536,2,128,139816,80669,495,720,729,0.3540,0.8925,0.5511
trace files/085.gcc.din,65536,4,16,139816,80669,813,4680,1901,0.5815,5.8015,2.4913
trace files/085.gcc.din,65536,4,32,139816,80669,524,2484,1102,0.3748,3.0792,1.3643
trace files/085.gcc.din,65536,4,64,139816,80669,355,1320,690,0.2539,1.6363,0.7597
trace files/085.gcc.din,65536,4,128,139816,80669,241,699,432,0.1724,0.8665,0.4263
trace files/085.gcc.din,65536,8,16,139816,80669,767,4680,1775,0.5486,5.8015,2.4705
trace files/085.gcc.din,65536,8,32,139816,80669,487,2484,1028,0.3483,3.0792,1.3475
trace files/085.gcc.din,65536,8,64,139816,80669,328,1320,643,0.2346,1.6363,0.7474
trace files/085.gcc.din,65536,8,128,139816,80669,225,699,414,0.1609,0.8665,0.4191
